scenario_id,run_index,reached_accounts,total_shares,steps,start_node_is_influencer
01,1,6278,1304,14,False
02,1,4827,1008,16,False
03,1,21,1,1,False
04,1,6216,1364,10,False
05,1,4829,1006,14,False
06,1,726,153,19,False
07,1,6278,1317,11,False
08,1,4863,1002,13,False
09,1,1041,213,8,False
01,2,38,2,2,False
02,2,4909,1038,17,False
03,2,180,40,8,False
04,2,6277,1285,11,False
05,2,5195,1093,13,False
06,2,466,99,9,False
07,2,6331,1294,10,False
08,2,4955,1025,18,False
09,2,992,187,12,False
01,3,6326,1384,10,False
02,3,5134,1092,17,False
03,3,235,63,7,False
04,3,6216,1302,11,False
05,3,4874,991,18,False
06,3,436,87,8,False
07,3,6145,1225,11,False
08,3,4670,973,19,False
09,3,1061,229,10,False
01,4,6240,1256,12,False
02,4,5078,1077,16,False
03,4,265,64,7,False
04,4,6239,1342,12,False
05,4,4768,1002,13,False
06,4,465,100,10,False
07,4,6260,1251,10,False
08,4,4902,1011,13,False
09,4,1231,256,11,False
01,5,6229,1298,10,False
02,5,4691,972,21,False
03,5,1166,278,22,False
04,5,6290,1339,11,False
05,5,4966,1060,15,False
06,5,447,81,9,False
07,5,6152,1224,11,False
08,5,5130,1098,16,False
09,5,1048,210,11,False
01,6,6118,1266,12,False
02,6,4877,1046,19,False
03,6,297,80,11,False
04,6,6313,1317,12,False
05,6,4865,1064,17,False
06,6,482,87,7,False
07,6,6234,1285,11,False
08,6,5028,1077,13,False
09,6,933,176,7,False
01,7,6245,1307,10,False
02,7,5006,1081,16,False
03,7,313,68,13,False
04,7,6217,1286,13,False
05,7,5060,1071,18,False
06,7,733,154,8,False
07,7,6232,1287,10,False
08,7,5155,1095,13,False
09,7,1381,299,10,False
01,8,6309,1341,13,False
02,8,4806,1002,18,False
03,8,162,32,11,False
04,8,6300,1339,12,False
05,8,4965,1029,15,False
06,8,558,121,8,False
07,8,6293,1362,10,False
08,8,5100,1077,14,False
09,8,1181,249,9,False
01,9,6222,1245,11,False
02,9,4972,1038,16,False
03,9,162,40,9,False
04,9,6247,1294,11,False
05,9,4719,1014,17,False
06,9,536,114,8,False
07,9,6242,1283,10,False
08,9,4979,1082,16,False
09,9,1520,330,13,False
01,10,6123,1262,12,False
02,10,4834,1042,14,False
03,10,120,25,7,False
04,10,6228,1292,12,False
05,10,4946,1057,16,False
06,10,571,129,8,False
07,10,6128,1253,10,False
08,10,4643,980,14,False
09,10,1327,288,13,False
01,11,6265,1304,12,False
02,11,5000,1061,17,False
03,11,110,19,5,False
04,11,6322,1339,10,False
05,11,4764,981,15,False
06,11,631,141,9,False
07,11,6182,1269,11,False
08,11,5163,1108,15,False
09,11,1128,245,14,False
01,12,6285,1345,10,False
02,12,4617,932,17,False
03,12,108,14,5,False
04,12,6141,1247,10,False
05,12,4867,1018,17,False
06,12,842,171,10,False
07,12,6349,1372,10,False
08,12,5155,1060,15,False
09,12,1182,238,9,False
01,13,6203,1257,11,False
02,13,4884,1027,18,False
03,13,210,41,11,False
04,13,6268,1344,11,False
05,13,4928,1060,18,False
06,13,442,96,10,False
07,13,6209,1257,11,False
08,13,5118,1118,15,False
09,13,1039,215,11,False
01,14,6277,1331,11,False
02,14,5036,1058,19,False
03,14,379,91,22,False
04,14,6258,1309,10,False
05,14,4970,1055,14,False
06,14,17,1,1,False
07,14,6265,1319,12,False
08,14,5058,1060,13,False
09,14,954,179,12,False
01,15,6191,1271,13,False
02,15,4945,1067,19,False
03,15,232,56,9,False
04,15,6311,1299,10,False
05,15,4999,1063,15,False
06,15,541,119,9,False
07,15,6280,1332,10,False
08,15,4833,973,15,False
09,15,1125,229,9,False
01,16,6408,1409,11,False
02,16,4973,1049,17,False
03,16,1045,248,16,False
04,16,6293,1327,11,False
05,16,5134,1087,14,False
06,16,357,70,8,False
07,16,6181,1255,11,False
08,16,4835,983,17,False
09,16,1209,313,10,False
01,17,6223,1282,12,False
02,17,4610,954,17,False
03,17,142,32,6,False
04,17,6288,1310,11,False
05,17,5139,1062,18,False
06,17,369,59,5,False
07,17,6229,1279,12,False
08,17,5154,1100,14,False
09,17,1020,214,9,False
01,18,6242,1279,11,False
02,18,4850,1041,17,False
03,18,633,137,8,False
04,18,6281,1357,12,False
05,18,4694,984,18,False
06,18,758,151,14,False
07,18,6382,1416,12,False
08,18,4976,1027,15,False
09,18,1127,242,14,False
01,19,6236,1338,13,False
02,19,5178,1162,13,False
03,19,227,55,9,False
04,19,6302,1265,14,False
05,19,4770,983,14,False
06,19,658,140,10,False
07,19,6229,1246,11,False
08,19,17,1,1,False
09,19,953,181,9,False
01,20,6231,1312,11,False
02,20,5233,1174,16,False
03,20,109,17,5,False
04,20,6282,1308,13,False
05,20,4985,1089,13,False
06,20,414,78,9,False
07,20,6305,1342,12,False
08,20,4923,1004,15,False
09,20,1365,279,11,False
01,21,6137,1280,13,False
02,21,5110,1106,14,False
03,21,161,42,10,False
04,21,6283,1342,11,False
05,21,5026,1073,21,False
06,21,670,155,15,False
07,21,6141,1266,11,False
08,21,5130,1102,14,False
09,21,1111,237,9,False
01,22,6191,1282,8,True
02,22,5089,1116,14,True
03,22,537,114,9,True
04,22,6222,1286,8,True
05,22,4917,1053,14,True
06,22,477,96,8,True
07,22,6172,1270,10,True
08,22,5047,1053,12,True
09,22,1067,195,8,True
01,23,6322,1338,10,False
02,23,5015,1089,15,False
03,23,162,28,5,False
04,23,6305,1371,11,False
05,23,5050,1045,14,False
06,23,509,98,8,False
07,23,6239,1304,10,False
08,23,5103,1074,16,False
09,23,1007,194,12,False
01,24,6355,1379,12,False
02,24,5089,1080,19,False
03,24,157,40,8,False
04,24,6224,1288,11,False
05,24,5109,1089,19,False
