scenario_id,step,mean_reached_accounts,std_reached_accounts
01,0,1,0.0
01,1,26.3,33.3052
01,2,124.3,152.626
01,3,440.36,430.4965
01,4,1256.86,931.2008
01,5,2733.18,1356.0558
01,6,4402.04,1366.2111
01,7,5468.18,1128.2375
01,8,5918.68,940.3614
01,9,6068.3,881.7629
01,10,6108.6,879.1181
01,11,6117.58,880.031
01,12,6119.22,880.258
01,13,6119.8,880.3574
01,14,6119.84,880.3662
01,15,6119.84,880.3662
02,0,1,0.0
02,1,26.3,33.3052
02,2,118,123.0593
02,3,288.26,273.0412
02,4,574.8,486.0527
02,5,1018.6,748.4942
02,6,1612.28,997.0797
02,7,2311.54,1149.6546
02,8,3012.62,1162.6433
02,9,3634.44,1055.8249
02,10,4104.98,865.1954
02,11,4426.22,685.607
02,12,4638.94,512.4938
02,13,4766.12,386.4786
02,14,4833.8,300.9606
02,15,4868.82,255.7589
02,16,4886.2,231.4667
02,17,4895.54,217.652
02,18,4899.58,212.9192
02,19,4900.64,211.7936
02,20,4901.16,210.8103
02,21,4902.56,208.1739
02,22,4903.42,206.6742
02,23,4904.74,204.7026
02,24,4905.18,204.136
02,25,4905.38,203.8936
02,26,4905.46,203.7993
02,27,4905.82,203.394
02,28,4905.92,203.287
02,29,4906.02,203.1823
03,0,1,0.0
03,1,26.3,33.3052
03,2,101.66,65.0976
03,3,158.92,101.9255
03,4,194.32,134.5057
03,5,216.88,153.5131
03,6,231.84,169.5466
03,7,241.92,181.0484
03,8,247.94,188.776
03,9,252.04,195.1088
03,10,254.64,199.2646
03,11,256.78,204.4074
03,12,258.62,207.4689
03,13,260.84,211.9713
03,14,263.14,217.0045
03,15,264.92,221.399
03,16,266.04,224.4722
03,17,266.96,225.7684
03,18,268.04,228.4612
03,19,269.44,232.6392
03,20,270.14,234.8057
03,21,270.58,236.1524
03,22,270.68,236.4703
04,0,1,0.0
04,1,26.3,33.3052
04,2,123.68,129.0033
04,3,461.64,367.3083
04,4,1393.22,878.2277
04,5,3063.48,1285.2957
04,6,4773.98,1196.5959
04,7,5726.14,940.7322
04,8,6043.12,881.045
04,9,6121.82,882.5136
04,10,6138.96,884.4014
04,11,6142.46,884.8508
04,12,6142.92,884.9195
04,13,6143,884.9297
04,14,6143,884.9297
05,0,1,0.0
05,1,26.3,33.3052
05,2,112.52,96.7149
05,3,333.72,180.6384
05,4,719.48,342.7317
05,5,1324.32,542.3595
05,6,2121.88,710.5924
05,7,2969.82,748.3208
05,8,3725.46,635.0657
05,9,4260.54,461.0435
05,10,4584.14,325.8029
05,11,4752.56,252.2051
05,12,4835.66,218.7539
05,13,4876.22,204.0949
05,14,4898.44,197.9521
05,15,4907.58,198.3935
05,16,4912.46,198.9149
05,17,4914.58,199.2385
05,18,4915.46,199.5143
05,19,4915.88,199.759
05,20,4916.14,199.8911
05,21,4916.22,199.9351
06,0,1,0.0
06,1,26.3,33.3052
06,2,119.84,67.2741
06,3,276.24,78.0655
06,4,384.04,104.605
06,5,450.76,131.0329
06,6,491.34,145.6969
06,7,512.76,154.0201
06,8,524.6,159.4603
06,9,533.22,162.2205
06,10,539.44,168.5601
06,11,543.5,172.1369
06,12,546.5,174.7266
06,13,547.8,175.8328
06,14,548.84,176.4818
06,15,549.86,177.1063
06,16,551.32,178.2203
06,17,552.4,179.1637
06,18,552.72,179.4815
06,19,552.76,179.5206
07,0,1,0.0
07,1,26.3,33.3052
07,2,143.64,166.185
07,3,605.78,513.7912
07,4,1761.36,1026.6497
07,5,3633.4,1178.9326
07,6,5250.5,793.1821
07,7,5987.16,374.4763
07,8,6206.28,138.6601
07,9,6258.86,72.6664
07,10,6269.12,68.1624
07,11,6270.94,67.7316
07,12,6271.28,67.8684
07,13,6271.28,67.8684
08,0,1,0.0
08,1,26.3,33.3052
08,2,131.34,137.7599
08,3,488.5,319.107
08,4,1159.26,506.0265
08,5,2079.36,668.7288
08,6,3064.72,749.9138
08,7,3868.64,747.3466
08,8,4384.68,723.8806
08,9,4656.5,710.5011
08,10,4788.02,712.6809
08,11,4848.04,715.7121
08,12,4873.54,717.1813
08,13,4885.4,717.7924
08,14,4889.98,718.0481
08,15,4891.64,718.2089
08,16,4892.52,718.1771
08,17,4892.86,718.1306
08,18,4893.04,718.0971
08,19,4893.06,718.0907
09,0,1,0.0
09,1,26.3,33.3052
09,2,141.44,139.2012
09,3,449.5,226.714
09,4,743.38,202.2351
09,5,923.24,142.8846
09,6,1018.44,132.199
09,7,1069.5,131.4847
09,8,1094.86,132.375
09,9,1107.9,133.5356
09,10,1116,136.2381
09,11,1120.56,138.7251
09,12,1123.16,140.2631
09,13,1124.64,141.2886
09,14,1125.16,141.7152
09,15,1125.4,141.961
09,16,1125.5,142.0717
09,17,1125.54,142.117
09,18,1125.58,142.1628
09,19,1125.62,142.2091
