scenario_id,run_index,reached_accounts,total_shares,steps,start_node_is_influencer
01,1,6385,1013,13,False
02,1,5764,627,11,False
03,1,2650,137,10,False
04,1,6537,1123,12,False
05,1,5795,628,12,False
06,1,2791,153,13,False
07,1,6449,1105,10,False
08,1,5965,709,11,False
09,1,4135,285,9,False
01,2,6448,1061,10,False
02,2,5753,627,12,False
03,2,549,31,7,False
04,2,6436,1087,10,False
05,2,5802,643,11,False
06,2,1839,111,8,False
07,2,6461,1054,11,False
08,2,5898,703,11,False
09,2,3864,273,15,False
01,3,6431,1044,10,False
02,3,5924,671,11,False
03,3,1509,84,10,False
04,3,6498,1126,9,False
05,3,5816,665,15,False
06,3,1992,111,11,False
07,3,6427,1097,9,False
08,3,5871,702,11,False
09,3,4153,242,8,False
01,4,6392,1041,9,False
02,4,5693,639,11,False
03,4,947,45,7,False
04,4,6362,1044,13,False
05,4,5657,593,13,False
06,4,1812,104,12,False
07,4,6470,1075,12,False
08,4,5907,682,11,False
09,4,3617,231,10,False
01,5,6333,1065,10,False
02,5,5669,577,12,False
03,5,1335,74,11,False
04,5,6461,1100,9,False
05,5,5709,620,11,False
06,5,1700,106,11,False
07,5,6595,1177,9,False
08,5,5608,620,10,False
09,5,3812,256,10,False
01,6,6541,1105,11,False
02,6,5739,594,11,False
03,6,2398,111,15,False
04,6,6537,1144,10,False
05,6,5898,690,12,False
06,6,3134,180,11,False
07,6,6520,1167,11,False
08,6,5675,649,12,False
09,6,3597,226,14,False
01,7,6440,1157,10,False
02,7,5760,598,13,False
03,7,943,56,9,False
04,7,6459,1126,10,False
05,7,5623,618,11,False
06,7,2660,138,11,False
07,7,6333,1080,12,False
08,7,5916,681,10,False
09,7,3673,266,10,False
01,8,6472,1134,10,False
02,8,5602,599,13,False
03,8,1407,68,11,False
04,8,6412,1039,10,False
05,8,5719,598,12,False
06,8,991,59,8,False
07,8,6439,1101,9,False
08,8,5788,659,13,False
09,8,3879,233,9,False
01,9,6442,1101,10,False
02,9,5779,649,13,False
03,9,598,26,6,False
04,9,6464,1139,10,False
05,9,5564,596,13,False
06,9,16,1,1,False
07,9,6432,1107,12,False
08,9,6049,741,10,False
09,9,3733,253,12,False
01,10,6461,1111,10,False
02,10,5535,552,15,False
03,10,1381,57,8,False
04,10,6515,1127,11,False
05,10,5484,586,12,False
06,10,2278,119,10,False
07,10,6485,1144,11,False
08,10,5912,678,11,False
09,10,3844,267,9,False
01,11,6444,1084,10,False
02,11,5577,603,12,False
03,11,1628,75,14,False
04,11,6444,1082,11,False
05,11,5792,635,10,False
06,11,3168,161,9,False
07,11,6527,1128,9,False
08,11,5667,660,12,False
09,11,4042,298,10,False
01,12,6421,1071,10,False
02,12,5696,620,11,False
03,12,1307,61,11,False
04,12,6552,1134,11,False
05,12,5939,667,10,False
06,12,2550,139,11,False
07,12,6428,1091,12,False
08,12,5998,712,11,False
09,12,16,1,1,False
01,13,6444,1049,10,False
02,13,5439,603,12,False
03,13,1644,91,15,False
04,13,6521,1127,10,False
05,13,5876,652,14,False
06,13,3374,196,13,False
07,13,6448,1086,9,False
08,13,5857,669,15,False
09,13,4044,265,12,False
01,14,6450,1077,11,False
02,14,5882,603,13,False
03,14,947,45,10,False
04,14,6391,1078,10,False
05,14,5676,621,11,False
06,14,1619,98,9,False
07,14,6472,1124,10,False
08,14,5727,647,11,False
09,14,3585,231,9,False
01,15,6431,1107,11,False
02,15,5402,560,14,False
