scenario_id,step,mean_reached_accounts,std_reached_accounts
01,0,1,0.0
01,1,32.9,45.751
01,2,175,209.1338
01,3,688.2,608.1287
01,4,2020.24,1208.4698
01,5,4041.58,1355.2891
01,6,5614.84,770.8881
01,7,6251.4,236.7024
01,8,6405.3,76.9413
01,9,6430.28,63.2717
01,10,6434.76,62.5321
01,11,6435.46,62.4013
01,12,6435.64,62.2476
01,13,6435.64,62.2476
02,0,1,0.0
02,1,32.9,45.751
02,2,176.7,207.4767
02,3,600.48,511.0927
02,4,1428.24,883.0966
02,5,2682.52,1132.7807
02,6,3960.92,1026.0165
02,7,4884.3,749.7385
02,8,5359.1,457.9125
02,9,5566.7,275.6733
02,10,5654.58,191.4695
02,11,5688.82,162.4248
02,12,5699.08,154.8682
02,13,5702.06,152.9916
02,14,5702.78,152.4477
02,15,5702.98,152.2657
02,16,5703,152.257
03,0,1,0.0
03,1,32.9,45.751
03,2,142.64,160.8533
03,3,397.1,266.9609
03,4,640.66,367.5315
03,5,838.24,467.327
03,6,1006.92,523.8359
03,7,1130.62,559.7896
03,8,1213.96,573.7157
03,9,1278.64,587.09
03,10,1329.42,608.9409
03,11,1367.06,629.529
03,12,1392.28,648.4018
03,13,1413.56,669.352
03,14,1427.82,689.1316
03,15,1433.04,696.5314
03,16,1434.88,698.878
03,17,1436.24,700.4105
03,18,1437.7,702.1411
03,19,1438.3,702.8546
03,20,1438.5,703.0719
04,0,1,0.0
04,1,32.9,45.751
04,2,169.18,238.0919
04,3,677.26,711.2251
04,4,1980.16,1317.9331
04,5,3984.22,1479.158
04,6,5521.42,1164.6539
04,7,6139.82,932.6445
04,8,6290.68,910.0499
04,9,6320.5,911.6175
04,10,6324.48,911.9986
04,11,6325.92,912.1221
04,12,6326.12,912.1312
04,13,6326.14,912.132
05,0,1,0.0
05,1,32.9,45.751
05,2,174.8,238.4967
05,3,660.6,611.7987
05,4,1666.44,1004.4371
05,5,3006.52,1135.9714
05,6,4248.8,963.8325
05,7,5050.54,652.8905
05,8,5459.88,367.6131
05,9,5629.34,223.7679
05,10,5686,184.2431
05,11,5706.92,169.2218
05,12,5716.6,160.1961
05,13,5720.22,155.2322
05,14,5721.44,154.0322
05,15,5721.92,153.2348
05,16,5722.16,152.8619
05,17,5722.3,152.5951
05,18,5722.32,152.5486
06,0,1,0.0
06,1,32.9,45.751
06,2,173.6,257.2624
06,3,545.04,488.0862
06,4,1105.88,552.4416
06,5,1603.12,580.2394
06,6,1961.46,619.4562
06,7,2196.88,664.9275
06,8,2350.12,682.1409
06,9,2437.6,697.8692
06,10,2496.2,708.1109
06,11,2526.2,718.1993
06,12,2542.9,724.3784
06,13,2552.2,729.265
06,14,2557.76,732.2487
06,15,2559.88,733.6704
06,16,2560.36,733.9783
07,0,1,0.0
07,1,32.9,45.751
07,2,204.6,265.0808
07,3,885.66,893.952
07,4,2489.12,1656.3235
07,5,4411.46,1688.1719
07,6,5693.06,1035.5567
07,7,6258.68,369.3605
07,8,6418.94,110.2158
07,9,6451.64,63.711
07,10,6457.78,56.6753
07,11,6458.88,56.1716
07,12,6459.1,56.0322
07,13,6459.16,55.9702
08,0,1,0.0
08,1,32.9,45.751
08,2,175.46,228.8135
08,3,723.2,770.4112
08,4,2071.86,1187.0465
08,5,3734.08,1144.777
08,6,4914.06,924.1542
08,7,5444,835.0557
08,8,5633.08,829.4937
08,9,5693.94,832.2148
08,10,5714.82,833.9493
08,11,5718.98,834.2341
08,12,5720.76,834.345
08,13,5721.06,834.375
08,14,5721.5,834.4396
08,15,5721.54,834.4462
09,0,1,0.0
09,1,32.9,45.751
09,2,188.1,255.4256
09,3,738.9,773.8825
09,4,1834.3,946.7676
09,5,2847.4,780.2796
09,6,3364.04,658.237
09,7,3587.66,632.4068
09,8,3671.68,627.8168
09,9,3705.68,626.3271
09,10,3719.5,625.6876
09,11,3724.82,626.4066
09,12,3726.92,627.2691
09,13,3727.32,627.326
09,14,3727.62,627.3188
09,15,3727.84,627.3656
