scenario_id,run_index,reached_accounts,total_shares,steps,start_node_is_influencer
01,1,6610,1330,9,False
02,1,6585,1348,9,False
03,1,6702,1436,9,False
04,1,6293,853,12,False
05,1,6132,769,13,False
06,1,6306,833,10,False
07,1,3382,711,27,False
08,1,2913,584,23,False
09,1,3775,808,25,False
01,2,6633,1397,8,False
02,2,6582,1350,8,False
03,2,6571,1378,10,False
04,2,6074,790,11,False
05,2,5992,772,11,False
06,2,6083,790,10,False
07,2,3672,758,22,False
08,2,2643,566,21,False
09,2,3389,703,15,False
01,3,6701,1498,8,False
02,3,6621,1407,9,False
03,3,6656,1444,10,False
04,3,6108,816,11,False
05,3,6097,819,13,False
06,3,5971,776,9,False
07,3,3398,686,21,False
08,3,3151,659,20,False
09,3,3720,804,20,False
01,4,6608,1365,12,False
02,4,6652,1437,10,False
03,4,6662,1420,10,False
04,4,6039,778,15,False
05,4,6029,763,11,False
06,4,6040,751,11,False
07,4,2790,565,26,False
08,4,2570,537,15,False
09,4,3769,804,17,False
01,5,6606,1360,9,False
02,5,6579,1353,11,False
03,5,6571,1415,9,False
04,5,5946,754,11,False
05,5,6092,807,12,False
06,5,6090,837,13,False
07,5,2849,594,21,False
08,5,3627,821,17,False
09,5,3894,827,17,False
01,6,6656,1433,8,False
02,6,6671,1429,10,False
03,6,6603,1373,11,False
04,6,6179,806,12,False
05,6,6023,754,11,False
06,6,6032,768,11,False
07,6,2820,590,20,False
08,6,3191,647,16,False
09,6,3611,783,18,False
01,7,6682,1403,10,True
02,7,6587,1327,9,True
03,7,6593,1335,9,True
04,7,5991,735,8,True
05,7,6059,785,8,True
06,7,6209,845,8,True
07,7,3480,758,17,True
08,7,3226,664,21,True
09,7,3378,693,21,True
01,8,6597,1399,9,False
02,8,6651,1451,10,False
03,8,6601,1396,9,False
04,8,5877,738,11,False
05,8,5882,747,13,False
06,8,6069,799,10,False
07,8,3541,730,29,False
08,8,3255,670,27,False
09,8,19,1,1,False
01,9,20,1,1,False
02,9,6622,1421,9,False
03,9,6614,1393,9,False
04,9,5966,751,10,False
05,9,6115,799,10,False
06,9,5958,768,10,False
07,9,3980,882,19,False
08,9,3881,784,17,False
09,9,3951,857,15,False
01,10,6714,1405,11,False
02,10,6631,1406,9,False
03,10,17,1,1,False
04,10,6144,784,13,False
05,10,6222,798,11,False
