scenario_id,step,mean_reached_accounts,std_reached_accounts
01,0,1,0.0
01,1,33.52,45.0257
01,2,170.92,245.2641
01,3,708.06,841.7174
01,4,2180.84,1483.9869
01,5,4471,1626.4082
01,6,5902,1244.3268
01,7,6375.94,971.1755
01,8,6480.2,935.0301
01,9,6497.92,935.4987
01,10,6499.92,935.7248
01,11,6500.28,935.7668
01,12,6500.34,935.7742
02,0,1,0.0
02,1,33.52,45.0257
02,2,195,285.2077
02,3,792.12,907.8364
02,4,2348.64,1418.7904
02,5,4713.22,1386.2533
02,6,6042.12,1204.5231
02,7,6375.46,1057.6143
02,8,6470.66,944.3991
02,9,6494.84,935.015
02,10,6498.9,935.2998
02,11,6499.5,935.3895
02,12,6499.54,935.3963
02,13,6499.54,935.3963
03,0,1,0.0
03,1,33.52,45.0257
03,2,169.06,254.4469
03,3,677.54,834.418
03,4,2046.88,1384.6403
03,5,4421.58,1372.3966
03,6,6022.84,993.2173
03,7,6430.9,931.1014
03,8,6492.94,935.2984
03,9,6500.36,936.2138
03,10,6501.26,936.3178
03,11,6501.38,936.3328
03,12,6501.38,936.3328
04,0,1,0.0
04,1,33.52,45.0257
04,2,152.48,170.5864
04,3,552.28,477.6584
04,4,1454.42,905.6949
04,5,2878.98,1163.7142
04,6,4415.6,1118.9474
04,7,5362.26,945.9466
04,8,5762.68,861.9753
04,9,5889.04,856.73
04,10,5925.36,859.9173
04,11,5934.62,861.0903
04,12,5936.38,861.3516
04,13,5937.08,861.4708
04,14,5937.38,861.5179
04,15,5937.48,861.5297
05,0,1,0.0
05,1,33.52,45.0257
05,2,173,212.5444
05,3,670.96,585.7698
05,4,1831.06,1074.3066
05,5,3417.52,1314.9872
05,6,4782.66,1094.4746
05,7,5568.76,615.5627
05,8,5902.42,255.545
05,9,6013.38,124.7271
05,10,6042.22,107.3834
05,11,6048.38,104.5296
05,12,6050.5,102.9357
05,13,6050.84,103.0598
05,14,6050.84,103.0598
06,0,1,0.0
06,1,33.52,45.0257
06,2,176.74,277.9247
06,3,682.56,809.8801
06,4,1957.72,1241.6522
06,5,3785.86,1263.5116
06,6,5178.84,978.6812
06,7,5773.62,868.0247
06,8,5951.36,863.092
06,9,5990.16,865.8958
06,10,5999.54,866.9077
06,11,6001.36,867.1345
06,12,6001.66,867.1755
06,13,6001.76,867.1874
06,14,6001.98,867.2181
06,15,6002,867.221
07,0,1,0.0
07,1,33.52,45.0257
07,2,125.78,106.9622
07,3,243.42,188.5711
07,4,401.74,287.4971
07,5,595.12,391.6907
07,6,805.48,494.6844
07,7,1050.5,586.8384
07,8,1305.66,664.8833
07,9,1563.74,712.6243
07,10,1811.02,745.9817
07,11,2035.96,759.1141
07,12,2240.34,756.9373
07,13,2423.14,749.8699
07,14,2568.06,731.9162
07,15,2686.22,707.1214
07,16,2784.56,682.3764
07,17,2858.7,660.2239
07,18,2918.56,638.8154
07,19,2965.54,617.6325
07,20,3005.08,599.0813
07,21,3032.82,585.2559
07,22,3052.54,574.5207
07,23,3071.28,561.4369
07,24,3085.84,547.0245
07,25,3097.94,535.0564
07,26,3106.9,525.1161
07,27,3113.78,516.6952
07,28,3119.46,508.4995
07,29,3124.16,501.2106
07,30,3128.26,493.4822
08,0,1,0.0
08,1,33.52,45.0257
08,2,142,108.5009
08,3,343.38,181.5981
08,4,613.5,271.4205
08,5,935.56,370.4767
08,6,1296.66,485.0561
08,7,1670.66,582.9432
08,8,2035.66,654.6857
08,9,2354.28,682.7041
08,10,2618.96,674.5965
08,11,2830.2,630.3905
08,12,2999.26,591.6389
08,13,3112.84,561.3058
08,14,3190.44,535.5751
08,15,3250.68,507.654
08,16,3295.94,484.3091
08,17,3328.92,460.4526
08,18,3354.38,436.2406
08,19,3372.56,417.0307
08,20,3386.42,401.0165
08,21,3396.2,390.0889
08,22,3403.12,383.442
08,23,3408.36,379.4051
08,24,3412.18,377.1677
08,25,3414.4,376.3276
08,26,3416.78,375.8494
08,27,3417.6,375.7638
08,28,3418,375.7748
08,29,3418.18,375.8122
08,30,3418.3,375.8395
09,0,1,0.0
09,1,33.52,45.0257
09,2,157,175.7396
09,3,509.56,323.0596
09,4,1025.04,441.2233
09,5,1593.28,547.8076
09,6,2129.46,641.0005
09,7,2590.78,711.3327
09,8,2953.96,747.5808
09,9,3198.98,769.5863
09,10,3372.56,785.7632
09,11,3486.34,797.0732
09,12,3554.24,801.302
09,13,3590.86,802.5096
09,14,3612,803.2381
09,15,3623.82,802.9091
09,16,3631.28,802.5904
09,17,3636.86,802.1479
09,18,3640.8,802.2142
09,19,3642.74,802.4267
09,20,3643.78,802.5266
09,21,3644.32,802.6015
09,22,3644.62,802.6442
09,23,3644.72,802.6597
09,24,3644.8,802.6726
09,25,3644.84,802.6791
