scenario_id,run_index,reached_accounts,total_shares,steps,start_node_is_influencer
01,1,6976,2695,6,False
02,1,6976,2648,7,False
03,1,6982,2682,7,False
04,1,6900,1512,7,False
05,1,6907,1614,7,False
06,1,6930,1724,7,False
07,1,6539,2538,10,False
08,1,6537,2436,11,False
09,1,6485,2481,9,False
01,2,6980,2664,7,False
02,2,6974,2636,6,False
03,2,6989,2721,7,False
04,2,6911,1636,7,False
05,2,6920,1693,7,False
06,2,6917,1618,7,False
07,2,6553,2533,12,False
08,2,6558,2523,9,False
09,2,6635,2667,9,False
01,3,6976,2646,6,False
02,3,6988,2680,7,False
03,3,6980,2650,7,False
04,3,6896,1596,7,False
05,3,6912,1613,7,False
06,3,6933,1662,7,False
07,3,6587,2567,8,False
08,3,6559,2539,10,False
09,3,6533,2491,8,False
01,4,6984,2668,6,False
02,4,6988,2706,7,False
03,4,6972,2695,7,False
04,4,6921,1571,7,False
05,4,6924,1594,7,False
06,4,6918,1695,7,False
07,4,6498,2399,11,False
08,4,6571,2482,9,False
09,4,6560,2531,9,False
01,5,6978,2650,7,False
02,5,6985,2700,7,False
03,5,6973,2623,6,False
04,5,6916,1610,7,False
05,5,6907,1609,7,False
06,5,6901,1647,6,False
07,5,6575,2539,9,False
08,5,6566,2641,9,False
09,5,6582,2505,9,False
01,6,6975,2708,6,False
02,6,6981,2705,6,False
03,6,6980,2676,6,False
04,6,6909,1598,7,False
05,6,6893,1608,7,False
06,6,6905,1631,7,False
07,6,6541,2558,9,False
08,6,6528,2453,10,False
09,6,6530,2569,11,False
01,7,6987,2644,6,False
02,7,6969,2603,6,False
03,7,6986,2722,7,False
04,7,6934,1660,7,False
05,7,6906,1582,7,False
06,7,6914,1702,7,False
07,7,6628,2575,9,False
08,7,6558,2477,10,False
09,7,6615,2531,8,False
01,8,6977,2610,6,False
02,8,6979,2629,6,False
03,8,6979,2690,7,False
04,8,6897,1590,7,False
05,8,6915,1650,7,False
06,8,6933,1638,7,False
07,8,6556,2504,10,False
08,8,6511,2447,8,False
09,8,6524,2442,9,False
01,9,6987,2701,7,False
02,9,6987,2669,6,False
03,9,6976,2606,6,False
04,9,6872,1525,7,False
05,9,6909,1653,8,False
06,9,6926,1651,7,False
07,9,6547,2546,10,False
08,9,6601,2555,9,False
