scenario_id,step,mean_reached_accounts,std_reached_accounts
01,0,1,0.0
01,1,39.2,41.8896
01,2,569.16,450.051
01,3,4251.4,957.7171
01,4,6869.68,85.8871
01,5,6975.64,5.5172
01,6,6977.72,4.7811
01,7,6977.76,4.7576
01,8,6977.76,4.7576
02,0,1,0.0
02,1,39.2,41.8896
02,2,552.3,499.1291
02,3,4169.48,848.7924
02,4,6869.52,74.4214
02,5,6977.36,5.7099
02,6,6979.34,5.0492
02,7,6979.44,5.0149
02,8,6979.46,4.9988
03,0,1,0.0
03,1,39.2,41.8896
03,2,552.88,536.0284
03,3,4156.02,889.7961
03,4,6868.28,71.1698
03,5,6976.52,5.2498
03,6,6978.42,5.3034
03,7,6978.52,5.2847
03,8,6978.52,5.2847
04,0,1,0.0
04,1,39.2,41.8896
04,2,531.02,356.9635
04,3,3252.4,905.3657
04,4,6436.24,260.8388
04,5,6884.18,21.6848
04,6,6906.36,14.3495
04,7,6907.28,14.2815
04,8,6907.32,14.2649
04,9,6907.32,14.2649
05,0,1,0.0
05,1,39.2,41.8896
05,2,527.4,452.9077
05,3,3635.02,715.4792
05,4,6582.02,143.2859
05,5,6894.96,18.0667
05,6,6909.9,13.8906
05,7,6910.68,13.8349
05,8,6910.7,13.8376
06,0,1,0.0
06,1,39.2,41.8896
06,2,558.16,524.498
06,3,4138.18,763.6909
06,4,6701.14,111.8149
06,5,6909.36,17.1866
06,6,6917.76,14.5048
06,7,6918.08,14.2096
06,8,6918.08,14.2096
07,0,1,0.0
07,1,39.2,41.8896
07,2,254.66,188.3165
07,3,1078.76,563.1388
07,4,3136.24,864.2807
07,5,5443.76,541.565
07,6,6334.04,157.0602
07,7,6505.32,52.5995
07,8,6532.34,39.8121
07,9,6536.56,38.526
07,10,6537.32,38.1375
07,11,6537.46,38.0141
07,12,6537.46,38.0141
08,0,1,0.0
08,1,39.2,41.8896
08,2,355.5,207.687
08,3,1470.58,556.673
08,4,3923.1,634.712
08,5,5905.34,246.3322
08,6,6444.84,59.2319
08,7,6533.96,30.2614
08,8,6546.54,28.0795
08,9,6548.18,27.8038
08,10,6548.6,27.7614
08,11,6548.62,27.7436
09,0,1,0.0
09,1,39.2,41.8896
09,2,523.84,223.9093
09,3,2151.78,528.6996
09,4,4841.7,474.4493
09,5,6216.98,139.5852
09,6,6499.06,45.2383
09,7,6541.6,36.6021
09,8,6548.3,35.5432
09,9,6549.2,35.3542
09,10,6549.3,35.341
09,11,6549.3,35.341
