scenario_id,run_index,reached_accounts,total_shares,steps,start_node_is_influencer
01,1,20,1,1,False
02,1,20,1,1,False
03,1,20,1,1,False
04,1,6724,1480,9,False
05,1,6305,941,12,False
06,1,117,6,4,False
07,1,6914,2483,8,False
08,1,6730,1594,9,False
09,1,6005,721,12,False
01,2,54,3,3,False
02,2,19,1,1,False
03,2,41,2,2,False
04,2,6660,1505,9,False
05,2,6283,913,11,False
06,2,121,7,5,False
07,2,6895,2474,8,False
08,2,6756,1619,8,False
09,2,6067,728,10,False
01,3,5479,495,16,False
02,3,3697,242,18,False
03,3,21,1,1,False
04,3,6693,1533,9,False
05,3,6334,964,10,False
06,3,4804,379,16,False
07,3,6899,2463,8,False
08,3,6707,1589,9,False
09,3,5843,664,13,False
01,4,5238,472,13,False
02,4,139,7,5,False
03,4,36,2,2,False
04,4,6715,1561,9,False
05,4,6348,933,13,False
06,4,4712,362,14,False
07,4,6904,2520,7,False
08,4,6770,1631,8,False
09,4,6024,714,13,False
01,5,4975,396,16,False
02,5,61,3,3,False
03,5,24,1,1,False
04,5,6700,1530,8,False
05,5,6372,962,12,False
06,5,46,2,2,False
07,5,6900,2395,7,False
08,5,6749,1651,9,False
09,5,5779,685,13,False
01,6,5181,445,15,False
02,6,19,1,1,False
03,6,41,2,2,False
04,6,6659,1488,9,False
05,6,6271,940,10,False
06,6,19,1,1,False
07,6,6896,2483,8,False
08,6,6732,1658,10,False
09,6,36,2,2,False
01,7,5599,531,15,False
02,7,23,1,1,False
03,7,23,1,1,False
04,7,6658,1471,9,False
05,7,6336,980,10,False
06,7,4188,281,18,False
07,7,6878,2498,8,False
08,7,6709,1607,8,False
09,7,5949,704,14,False
01,8,24,1,1,False
02,8,24,1,1,False
03,8,47,2,2,False
04,8,6644,1451,9,False
05,8,6342,956,12,False
06,8,4307,320,14,False
07,8,6883,2506,7,False
08,8,6725,1615,9,False
09,8,41,2,2,False
01,9,58,3,3,False
02,9,56,3,3,False
03,9,22,1,1,False
04,9,6593,1394,10,False
05,9,6340,961,10,False
06,9,40,2,2,False
07,9,6894,2478,8,False
08,9,6696,1592,10,False
09,9,5910,726,12,False
01,10,4959,444,16,False
02,10,2387,150,21,False
03,10,20,1,1,False
04,10,6669,1513,10,False
05,10,6350,1002,11,False
06,10,548,30,10,False
07,10,6875,2489,8,False
08,10,6770,1678,9,False
09,10,5764,659,16,False
01,11,21,1,1,False
02,11,21,1,1,False
03,11,47,2,2,False
04,11,6597,1437,9,False
05,11,6111,823,15,False
06,11,4229,315,19,False
07,11,6861,2436,9,False
08,11,6707,1580,9,False
09,11,5946,721,12,False
01,12,5357,476,14,False
02,12,85,5,4,False
03,12,51,3,3,False
04,12,6674,1534,9,False
05,12,6344,961,15,False
06,12,18,1,1,False
07,12,6877,2430,9,False
08,12,6741,1668,8,False
09,12,5667,655,16,False
01,13,4277,367,20,False
02,13,224,12,8,False
03,13,18,1,1,False
04,13,6686,1516,11,False
05,13,18,1,1,False
06,13,53,3,3,False
07,13,6890,2557,8,False
08,13,6757,1620,10,False
09,13,18,1,1,False
01,14,5073,458,13,False
02,14,3276,215,19,False
03,14,19,1,1,False
04,14,6638,1487,11,False
05,14,6220,914,10,False
06,14,4814,362,24,False
07,14,6877,2513,8,False
08,14,6733,1595,9,False
09,14,19,1,1,False
01,15,5262,463,19,False
02,15,21,1,1,False
03,15,21,1,1,False
04,15,6709,1564,8,False
05,15,6387,996,12,False
06,15,21,1,1,False
07,15,6886,2464,9,False
08,15,6744,1615,8,False
09,15,21,1,1,False
01,16,21,1,1,False
02,16,3941,247,16,False
03,16,37,2,2,False
04,16,6664,1445,9,False
05,16,6286,985,12,False
06,16,4838,373,15,False
07,16,6871,2459,7,False
08,16,6728,1645,10,False
09,16,5988,755,11,False
01,17,37,2,2,False
02,17,19,1,1,False
03,17,19,1,1,False
04,17,6655,1483,10,False
05,17,6281,986,11,False
06,17,99,5,5,False
07,17,6878,2451,9,False
08,17,6669,1549,10,False
09,17,5904,716,16,False
01,18,19,1,1,False
02,18,3644,213,16,False
03,18,19,1,1,False
04,18,6605,1456,9,False
05,18,6315,932,11,False
06,18,4979,395,17,False
07,18,6910,2557,7,False
08,18,6736,1622,9,False
09,18,5980,720,9,False
01,19,5657,537,11,False
02,19,207,11,9,False
03,19,21,1,1,False
04,19,6695,1522,9,False
05,19,6295,973,11,False
06,19,4608,369,15,False
07,19,6897,2450,8,False
