scenario_id,step,mean_reached_accounts,std_reached_accounts
01,0,1,0.0
01,1,23.18,23.0223
01,2,77.94,85.8234
01,3,171.68,194.7075
01,4,364.2,417.4361
01,5,692.8,767.6592
01,6,1175.54,1175.7953
01,7,1778.24,1569.4732
01,8,2356.22,1881.6698
01,9,2826,2054.7604
01,10,3182.8,2150.812
01,11,3440.78,2226.528
01,12,3593.36,2279.6849
01,13,3684.16,2311.1082
01,14,3732.08,2328.8193
01,15,3755.96,2337.9474
01,16,3766.8,2340.005
01,17,3771.86,2338.5588
01,18,3776.58,2336.739
01,19,3780.04,2335.0981
01,20,3783.36,2332.5496
01,21,3787.76,2328.0787
01,22,3791.86,2324.0853
01,23,3798.8,2317.8174
01,24,3811.26,2308.922
01,25,3827.04,2302.4506
01,26,3845.94,2301.8056
01,27,3859.32,2306.036
01,28,3864.1,2308.4857
01,29,3866.94,2310.1741
01,30,3867.56,2310.5658
02,0,1,0.0
02,1,23.18,23.0223
02,2,57.8,58.1711
02,3,114.12,138.7899
02,4,195.98,263.0187
02,5,310.2,434.3334
02,6,445.98,631.055
02,7,593.04,854.7715
02,8,721.7,1044.5671
02,9,833.5,1179.5962
02,10,923.98,1268.3268
02,11,1009.94,1348.1393
02,12,1083.14,1424.5081
02,13,1146.96,1491.1966
02,14,1199.42,1546.3458
02,15,1234.6,1582.1824
02,16,1257.8,1604.3594
02,17,1273.62,1619.1568
02,18,1282.34,1626.3135
02,19,1287.54,1630.3846
02,20,1290.48,1632.7184
02,21,1291.32,1633.419
03,0,1,0.0
03,1,23.18,23.0223
03,2,32.26,31.0219
03,3,35.26,32.778
03,4,38.26,36.9809
03,5,43.12,49.6126
03,6,44.98,55.5703
03,7,46.04,58.8821
03,8,46.36,59.8763
03,9,46.96,61.9206
03,10,47.6,64.3384
03,11,48.26,67.0607
04,0,1,0.0
04,1,23.18,23.0223
04,2,158.8,233.7216
04,3,775.04,744.346
04,4,2625.78,1287.6017
04,5,5185.48,1097.4259
04,6,6410.58,305.1205
04,7,6645.3,56.8978
04,8,6674.3,38.3114
04,9,6677.08,37.5124
04,10,6677.54,37.3058
04,11,6677.54,37.3058
05,0,1,0.0
05,1,23.18,23.0223
05,2,105.06,163.4341
05,3,346.84,474.3401
05,4,965.36,928.8255
05,5,2246.42,1467.7816
05,6,3848.24,1901.0373
05,7,4930,2009.2954
05,8,5385.14,1989.0439
05,9,5570.2,1928.7917
05,10,5656.22,1905.5043
05,11,5682.16,1908.5614
05,12,5687.42,1910.0662
05,13,5689.64,1910.7742
05,14,5689.96,1910.8627
05,15,5690,1910.8742
06,0,1,0.0
06,1,23.18,23.0223
06,2,61.46,86.5073
06,3,131.48,181.6037
06,4,253.34,385.2916
06,5,422.26,614.6105
06,6,655.4,855.0688
06,7,957.48,1139.8517
06,8,1281.86,1409.0228
06,9,1601.56,1650.103
06,10,1856.84,1826.9519
06,11,2075.76,1977.8657
06,12,2230.3,2085.1384
06,13,2334.68,2155.1563
06,14,2406.74,2193.2755
06,15,2461.88,2212.8635
06,16,2508.6,2224.5524
06,17,2545.1,2238.1968
06,18,2569.88,2251.8564
06,19,2589.1,2265.8753
06,20,2601.04,2275.9211
06,21,2604.64,2279.2271
06,22,2605.96,2280.4709
06,23,2606.42,2280.9223
06,24,2606.48,2280.9815
07,0,1,0.0
07,1,23.18,23.0223
07,2,222.56,225.3043
07,3,1482.42,893.7621
07,4,4953.5,1042.4598
07,5,6706.22,182.5405
07,6,6878.14,17.773
07,7,6888.32,12.3923
07,8,6889,12.0
07,9,6889,12.0
08,0,1,0.0
08,1,23.18,23.0223
08,2,144.42,123.4198
08,3,729.42,517.0819
08,4,2711.68,1232.6937
08,5,5385.68,1040.1446
08,6,6506.88,303.8878
08,7,6705.06,46.3057
08,8,6726.56,26.9059
08,9,6728.86,26.7681
08,10,6729.08,26.7336
09,0,1,0.0
09,1,23.18,23.0223
09,2,105.88,164.3988
09,3,299.78,445.1772
09,4,709.66,880.7175
09,5,1438.5,1387.1887
09,6,2395.08,1791.7895
09,7,3389.1,1951.2061
09,8,4216.22,1961.7193
09,9,4766.28,1875.9931
09,10,5085.18,1808.0329
09,11,5251,1784.11
09,12,5321.9,1789.1438
09,13,5346,1794.2344
09,14,5353.08,1796.1026
09,15,5355.96,1796.8668
09,16,5357.5,1797.3305
09,17,5357.6,1797.3639
