scenario_id,run_index,reached_accounts,total_shares,steps,start_node_is_influencer
01,1,10,1,1,False
02,1,19,1,1,False
03,1,5938,411,9,False
04,1,37,4,3,False
05,1,6547,1232,10,False
06,1,6816,1188,8,False
07,1,6179,1686,13,False
08,1,6817,1933,8,False
09,1,6947,1888,7,False
01,2,8,1,1,False
02,2,34,2,2,False
03,2,5727,377,14,False
04,2,16,2,2,False
05,2,6456,1133,12,False
06,2,6834,1183,8,False
07,2,5989,1616,16,False
08,2,6792,1890,10,False
09,2,6945,1934,7,False
01,3,18,2,2,False
02,3,210,12,7,False
03,3,6067,425,13,False
04,3,5398,968,15,False
05,3,6504,1143,10,False
06,3,6850,1222,9,False
07,3,10,1,1,False
08,3,6835,1902,9,False
09,3,6951,1869,6,False
01,4,12,1,1,False
02,4,62,3,2,False
03,4,67,2,2,False
04,4,12,1,1,False
05,4,6522,1173,12,False
06,4,39,1,1,False
07,4,6273,1776,12,False
08,4,6787,1864,8,False
09,4,6952,1963,7,False
01,5,98,10,4,False
02,5,4081,263,15,False
03,5,6009,438,13,False
04,5,4918,849,14,False
05,5,6582,1168,9,False
06,5,6824,1182,8,False
07,5,6274,1750,11,False
08,5,6822,1902,9,False
09,5,6945,1963,7,False
01,6,19,2,2,False
02,6,4415,308,13,False
03,6,6081,421,9,False
04,6,5127,932,14,False
05,6,6425,1088,9,False
06,6,6827,1171,8,False
07,6,6080,1687,13,False
08,6,6781,1835,8,False
09,6,6931,1936,7,False
01,7,11,1,1,False
02,7,4601,300,16,False
03,7,5861,420,13,False
04,7,5178,867,14,False
05,7,6501,1171,11,False
06,7,6842,1177,7,False
07,7,6104,1694,12,False
08,7,6815,1885,8,False
09,7,6933,1910,7,False
01,8,30,3,2,False
02,8,23,1,1,False
03,8,5627,398,11,False
04,8,5059,866,16,False
05,8,6543,1181,10,False
06,8,6849,1223,8,False
07,8,6070,1646,13,False
08,8,6791,1879,10,False
09,8,6943,1991,7,False
01,9,10,1,1,False
02,9,20,1,1,False
03,9,33,1,1,False
04,9,5265,948,16,False
05,9,6474,1135,12,False
06,9,6745,1109,9,False
07,9,6085,1684,12,False
