scenario_id,step,mean_reached_accounts,std_reached_accounts
01,0,1,0.0
01,1,12.18,12.0029
01,2,20.68,24.7035
01,3,27.38,43.4172
01,4,31.9,58.743
01,5,34.6,64.3577
01,6,36.24,68.4262
01,7,39.56,73.8963
01,8,42.18,79.8431
01,9,45.94,91.256
01,10,47.22,95.8162
01,11,47.86,98.5741
01,12,48.22,100.1819
02,0,1,0.0
02,1,23.84,24.0767
02,2,66.58,77.1246
02,3,141.44,151.1827
02,4,278.08,302.6654
02,5,468.98,509.9201
02,6,708.04,744.6167
02,7,1004.16,996.0777
02,8,1314.98,1227.8679
02,9,1615.2,1418.8649
02,10,1868.92,1566.3015
02,11,2080.32,1665.1835
02,12,2258,1728.2133
02,13,2407.04,1771.2079
02,14,2522.86,1797.9116
02,15,2618.66,1822.6728
02,16,2690.42,1844.743
02,17,2741.34,1858.1472
02,18,2788.12,1871.2294
02,19,2817.36,1881.4028
02,20,2834.08,1888.4758
02,21,2851.6,1894.2623
02,22,2869.32,1901.4738
02,23,2878.32,1905.2524
02,24,2883.34,1907.5577
02,25,2886.98,1909.2051
02,26,2890.64,1910.7228
02,27,2892.52,1910.3834
02,28,2893.54,1910.997
02,29,2895.32,1912.0232
02,30,2897.18,1913.0764
03,0,1,0.0
03,1,39.46,40.0705
03,2,143.64,153.6926
03,3,430.86,432.2546
03,4,1083.56,987.3606
03,5,2170.46,1599.3868
03,6,3266.9,1946.6644
03,7,4142.86,2048.5395
03,8,4661.76,2072.0085
03,9,4915.52,2057.7725
03,10,5029.98,2051.2201
03,11,5073.1,2053.0008
03,12,5093.32,2056.6573
03,13,5099.66,2058.0934
03,14,5102.9,2058.9474
03,15,5104.7,2059.5521
03,16,5104.82,2059.5826
03,17,5104.88,2059.5946
04,0,1,0.0
04,1,12.18,12.0029
04,2,40.28,45.5676
04,3,97.94,125.9285
04,4,218.32,291.7699
04,5,432.32,566.5388
04,6,769.28,932.964
04,7,1190.42,1296.1941
04,8,1662.94,1605.8308
04,9,2137.5,1845.1912
04,10,2570.2,1995.7199
04,11,2926.98,2071.0754
04,12,3198.62,2104.529
04,13,3415.48,2129.4333
04,14,3568.84,2164.1388
04,15,3660.54,2196.8344
04,16,3715,2221.2038
04,17,3742.2,2234.9297
04,18,3755.64,2242.0082
04,19,3761.7,2245.1292
04,20,3764.42,2246.5958
04,21,3765.42,2247.165
04,22,3765.66,2247.3061
04,23,3765.68,2247.3167
05,0,1,0.0
05,1,23.84,24.0767
05,2,107.76,88.0889
05,3,427.98,369.7257
05,4,1398.4,1010.4189
05,5,3241.36,1493.6156
05,6,5178.12,1101.5897
05,7,6146.96,457.3517
05,8,6414.66,123.2149
05,9,6468.08,62.5922
05,10,6477.22,56.0384
05,11,6478.8,54.8363
05,12,6479.14,54.7447
05,13,6479.16,54.7236
06,0,1,0.0
06,1,39.46,40.0705
06,2,292.06,252.3196
06,3,1574.92,935.4968
06,4,4663.58,1246.2929
06,5,6415.94,958.4956
06,6,6666.14,957.0703
06,7,6686.58,959.5829
06,8,6687.9,959.7631
06,9,6688.02,959.7807
06,10,6688.02,959.7807
07,0,1,0.0
07,1,12.18,12.0029
07,2,53.62,61.8675
07,3,191.28,230.6228
07,4,569.82,629.5714
07,5,1384.34,1228.0984
07,6,2607.76,1750.0735
07,7,3913.46,1968.5015
07,8,4796.96,1956.8659
07,9,5255.06,1874.0106
07,10,5455.22,1848.5841
07,11,5520.84,1856.1608
07,12,5538.22,1860.6559
07,13,5542.34,1861.9068
07,14,5543.34,1862.2113
07,15,5543.52,1862.2638
07,16,5543.54,1862.2687
08,0,1,0.0
08,1,23.84,24.0767
08,2,161,156.8826
08,3,921.5,645.4862
08,4,3451.14,1268.9361
08,5,6041.64,750.3972
08,6,6721.42,123.0623
08,7,6796.06,21.7034
08,8,6802.64,16.9305
08,9,6803.38,16.8497
08,10,6803.38,16.8497
09,0,1,0.0
09,1,39.46,40.0705
09,2,470.54,382.9634
09,3,3178.98,1080.9326
09,4,6533.7,274.7087
09,5,6931.64,16.3729
09,6,6945.22,9.2014
09,7,6945.66,9.05
09,8,6945.66,9.05
